video,Jacc_sim_online,avg_dist_online,Jacc_sim_retrospective,avg_dist_retro,Jacc_sim_lesioned,avg_dist_lesioned
1,0.2,0.2603283127406531,0.16666666666666666,0.05936618217956572,0.14285714285714285,0.08258229780399584
2,0.5,0.24851566993501317,0.75,0.7563998389552755,0.4,1.1107619374128577
3,0.3333333333333333,0.26095720293866415,0.3333333333333333,0.4231320300762111,0.5,0.40151706400442194
4,0.25,0.18577524683657298,0.25,0.1455499273745582,0.3333333333333333,0.1575440487602996
5,0.3333333333333333,0.7028270139475581,0.3333333333333333,0.7397164003210247,0.5,0.5554540638519152
6,0.3333333333333333,0.19853395631597268,0.25,0.2748308393169912,0.25,0.24968347451236703
7,0.2,0.27373522365312486,0.2,0.1310062654028197,0.16666666666666666,0.08175554309467742
8,0.3333333333333333,0.33625867733731324,0.5,0.2829605934471335,0.5,0.13576618929064907
9,0.6666666666666666,0.24721849345252148,0.3333333333333333,0.48809643604200625,0.5,0.5118528649164164
10,0.2857142857142857,2.1441171748970542,0.2857142857142857,2.6548711149448616,0.2,3.256925121936205
11,1.0,0.774973581029036,1.0,1.1840831684387902,0.5,0.31533298599010695
12,0.6666666666666666,0.6152611630260415,0.25,0.5552188112706865,0.5,0.07818139591340907
13,0.3333333333333333,0.2381902981085046,0.3333333333333333,0.13716633246749202,0.5,0.31006336666183
14,0.5,0.32161448378666446,1.0,0.2688382574033348,0.3333333333333333,0.23961809153500105
15,1.0,0.04162055346593307,0.5,0.11734042330277791,1.0,0.07239801036060811
16,0.5,0.7451726620961523,0.5,0.5348691826789321,0.3333333333333333,0.1601267341843914
17,0.25,0.13378161782780876,0.3333333333333333,0.04651804670242522,0.3333333333333333,0.03411840975087797
18,1.0,0.36031721565106467,1.0,0.9403749932989184,0.5,0.14174958191953352
19,0.25,0.36834805762370976,0.25,0.4540086020554016,0.25,0.367386343916537
20,0.0,NaN,0.0,NaN,0.0,NaN
21,0.3333333333333333,0.08779826149270382,0.25,0.13056228060746167,0.25,0.12456196837588483
22,0.0,NaN,0.0,NaN,0.0,NaN
23,1.0,0.2550368376063927,1.0,0.14590878083130665,0.5,0.22002445554082362
24,0.3333333333333333,0.1867631414270049,0.25,0.5284991528263431,0.5,0.14774767523004634
25,0.5,0.29926199557039856,0.6666666666666666,0.24573513269024544,0.6666666666666666,0.20312617827314244
26,0.25,0.37138712393740175,0.25,0.28685727049794413,0.25,0.1582693064800736
27,1.0,0.10756703237130806,1.0,0.0661246450330825,1.0,0.1074621268794736
28,0.2,0.4221775102807279,0.2,0.4290276216776571,0.2,0.4291298294376108
29,0.5,0.7730481594739687,1.0,0.497433736136777,1.0,0.5365840000761178
30,0.16666666666666666,0.6230699920948616,0.16666666666666666,0.5384709448002755,0.16666666666666666,0.7946939223857676
31,0.5,0.4015068516487109,0.4,1.5811232380990303,0.25,0.139239645547238
32,0.16666666666666666,3.642717077269508,0.16666666666666666,1.2018376715252108,0.14285714285714285,1.296465841508325
33,1.0,1.815578146920002,1.0,1.6925966811866975,0.5,0.07257448111696505
34,0.5,1.5175073097407927,0.6666666666666666,0.4439657003378943,0.3333333333333333,0.1413154064018386
35,0.5,0.168458244680106,0.5,0.12689961128671134,0.6666666666666666,0.30419194648930675
36,0.3333333333333333,0.524476028663341,0.3333333333333333,0.4669046126335624,0.3333333333333333,0.5033816484353283
37,0.5,0.19598061143424161,0.5,0.18098352823592484,1.0,0.4257775474159506
38,0.25,0.20209627348013157,0.25,0.2652610491403558,0.25,0.1297432851808336
39,0.5,1.527374534263074,0.5,1.5808650714922807,0.5,0.22137254250344532
40,0.5,0.20065914725730005,0.5,0.29573867509897,0.25,0.2627643510957859
41,0.4,3.5114097212860864,0.5,0.44442215208598856,0.3333333333333333,3.682592875532222
42,0.25,0.2952295189103923,0.2,0.3990379683676061,0.5,0.2213986856739917
43,0.2,0.3307119102334841,0.16666666666666666,0.4929138904025563,0.16666666666666666,0.5864971459297719
44,0.5,0.09629868070479787,0.5,0.2604937112226644,1.0,0.06591459698012392
45,0.5,0.2990523271400659,0.5,0.6110546355784853,0.6666666666666666,0.2041967304177693
46,1.0,0.2318512640560143,0.6666666666666666,0.21471101177980023,0.6666666666666666,0.7274592997486302
47,0.25,0.1806235323684358,0.25,0.2953068606733246,0.3333333333333333,0.40001840928262505
48,0.5,0.061876418388092234,0.5,0.15936318708881067,1.0,0.110265110820005
49,0.4,0.5205184089851105,0.16666666666666666,0.13249405156695981,0.25,0.21510068480149291
50,0.5,3.666036974898568,0.5,5.028897813719953,1.0,4.937015804714648
51,NaN,NaN,0.25,0.4233444491633246,0.2,0.30529996221105665
52,NaN,NaN,0.16666666666666666,0.8395457655709531,0.2,0.6735194667460338
53,NaN,NaN,0.2,0.5586197245632051,0.2,0.47947124517146467
54,NaN,NaN,1.0,0.3985793895700122,1.0,0.3938683245308959
55,NaN,NaN,0.3333333333333333,0.21505201155920378,0.5,0.2967623721598551
56,NaN,NaN,0.3333333333333333,0.6962167645507412,0.0,NaN
57,NaN,NaN,0.5,0.302572596937515,0.5,0.29374717899454394
58,NaN,NaN,0.0,NaN,0.0,NaN
59,NaN,NaN,0.4,2.241579815651026,0.25,0.25183147465591554
60,NaN,NaN,0.0,NaN,0.0,NaN
61,NaN,NaN,0.5,0.22228609355149942,1.0,0.31946976596532795
62,NaN,NaN,0.5,0.6512923044118339,0.5,0.2730085266370348
63,NaN,NaN,1.0,0.4273280286473967,0.3333333333333333,0.15184238606933972
64,NaN,NaN,0.25,0.21358094229148297,0.5,0.06259746901317613
65,NaN,NaN,0.16666666666666666,0.43911546824935616,0.3333333333333333,0.5790020995123438
66,NaN,NaN,0.4,1.1381244407945237,0.4,1.1436503499956152
67,NaN,NaN,0.5,0.2657989174712031,0.5,0.21342701478709836
68,NaN,NaN,1.0,0.10440889929379216,1.0,0.1090825636419456
69,NaN,NaN,0.2,3.269314651047615,0.0,NaN
70,NaN,NaN,0.5,0.14187946387507538,0.6666666666666666,0.6397662639106854
71,NaN,NaN,0.5,0.11672633475650812,0.5,0.3123777283554775
72,NaN,NaN,0.6666666666666666,0.27194929750103636,0.5,0.2571959210302452
73,NaN,NaN,0.2,0.4164411010485106,0.2,0.5108609173658638
74,NaN,NaN,0.6666666666666666,0.2786445976856379,0.6666666666666666,0.1098288217768422
75,NaN,NaN,0.5,1.7159563039078511,0.3333333333333333,0.2064006886591591
76,NaN,NaN,0.75,0.8334141724843128,0.75,0.9406488440235415
77,NaN,NaN,0.6666666666666666,0.21701828927694206,0.6666666666666666,0.5177112103995722
78,NaN,NaN,0.2,0.20677173898110077,0.25,1.1052674001476033
79,NaN,NaN,0.2,0.5515204894008678,0.2,0.5317162101922527
80,NaN,NaN,0.5,0.4096676153198514,1.0,0.20466879066755284
81,NaN,NaN,0.3333333333333333,0.4591449640579908,0.5,2.13923521006444
82,NaN,NaN,0.16666666666666666,0.3341089972593795,0.2,0.21981149771514524
83,NaN,NaN,0.25,0.30779511072437504,0.25,0.20982635266508082
84,NaN,NaN,0.6666666666666666,0.22615084766810534,0.6666666666666666,0.39914391739922656
85,NaN,NaN,0.5,0.7366731586164719,0.3333333333333333,0.25544862869793467
86,NaN,NaN,1.0,0.45548657537573606,0.75,0.41613563116535324
87,NaN,NaN,0.5,0.790803611186874,0.5,0.2280132127463054
88,NaN,NaN,0.25,0.09248540002015299,0.3333333333333333,0.14878822237215897
89,NaN,NaN,0.3333333333333333,1.1359960275668666,0.5,0.10316428785824021
90,NaN,NaN,0.3333333333333333,0.3080087080083767,1.0,0.567242388254373
91,NaN,NaN,0.3333333333333333,0.19981772590845034,0.3333333333333333,0.05985336388394671
92,NaN,NaN,0.3333333333333333,0.7668056956490881,0.0,NaN
93,NaN,NaN,1.0,0.23109867874074666,1.0,0.160020550542631
94,NaN,NaN,0.5,1.1434756936104518,0.4,0.3847839596460091
95,NaN,NaN,0.6666666666666666,0.31960217898321064,1.0,0.6984348956266071
96,NaN,NaN,0.6666666666666666,2.093215863227643,0.3333333333333333,0.16471879135583523
97,NaN,NaN,0.0,NaN,0.0,NaN
98,NaN,NaN,0.4,0.6257654386732492,0.6666666666666666,0.3591424811513108
99,NaN,NaN,0.5,0.5156627563634351,0.5,0.5163313500588403
100,NaN,NaN,0.0,NaN,0.0,NaN
